Id,Label,sex
1304926,QY,male
1948114,XL,male
562880781,NT,female
578088404,AC,male
587397947,BK,male
595463424,PT,male
596050679,YJ,male
600560953,XB,male
609931442,ES,male
624355976,BJ,male
639833024,YZ,male
640497003,DL,male
649752277,JJ,
654072691,LZ,male
669159351,DW,male
669821899,BY,male
679589874,XX,
679868316,XZ,male
708949215,CZ,male
714644778,KJ,male
738267659,CL,male
739663922,BL,male
744213328,LW,male
753013878,KL,male
754418010,HW,female
760134120,LC,male
788972681,YS,male
791302557,JL,male
1015773384,YW,male
1022002265,KB,male
1030256070,LL,male
1053438756,LL,female
1059782144,JT,male
1070991927,ZJ,male
1100664380,TW,female
1102966742,HG,male
1117072177,YS,male
1128502190,QL,male
1142912506,XL,male
1155690429,XF,male
1174131749,ZH,male
1178425741,JH,male
1201044517,XF,male
1242851110,XYL,male
1321853882,GLX,male
1376586796,WW,female
1417152623,HC,male
1461720182,ST,male
1472255922,SA,male
1472533443,JW,male
1516539151,MQ,female
1516580687,LH,male
1537892331,ES,male
1607922002,YZ,female
1609760037,EM,male
1789546411,ML,male
1791054056,HL,male
100000298034702,JY,female
100000361896591,AP,male
100000505961809,LM,male
100000612073254,CW,female
100000711330800,AT,male
100001006205827,GX,male
100001280306774,YD,male
100001420143948,YZ,male
100001582911432,XY,male
100001774706989,YL,female
100001802201225,JL,male
100001963232921,JNC,male
100002236677799,BZ,female
100002607748642,XD,male
100002848978190,ZL,male
100002855491187,WW,male
100002907263349,TW,male
100003374230957,YXL,male
100003516960028,KZ,male
100003651033642,MG,male
100003926951543,DY,male
100004139490227,BW,male
100004298491637,RZ,female
100004305093747,PP,male
100004742886751,CT,female
100005062952312,GT,male
100005746690882,TW,male
100006739774670,ZS,male
100007022493165,BB,male
100008300712659,LZ,male
1201,1201,
044517,044517,
